time_s,time_us,checksum_valid,cookie,frame_no,rssi_pkt,snr_pkt,rssi_signal,time_gregorian,log_timestamp,log_timestamp_gregorian
1656908583,290779,True,1928,2111,-21,12,-22,2022-07-04T07:23:03,1656908583.293927,2022-07-04T07:23:03
1656908583,880359,True,1929,2112,-23,11,-23,2022-07-04T07:23:03,1656908583.881851,2022-07-04T07:23:03
1656908584,511203,True,1930,2113,-26,11,-27,2022-07-04T07:23:04,1656908584.514821,2022-07-04T07:23:04
1656908588,140064,True,1931,2114,-53,10,-53,2022-07-04T07:23:08,1656908588.143932,2022-07-04T07:23:08
1656908588,680317,True,1932,2115,-38,11,-38,2022-07-04T07:23:08,1656908588.681897,2022-07-04T07:23:08
1656908589,270216,True,1933,2116,-32,11,-32,2022-07-04T07:23:09,1656908589.271817,2022-07-04T07:23:09
1656908589,810322,True,1934,2117,-34,11,-35,2022-07-04T07:23:09,1656908589.813838,2022-07-04T07:23:09
1656908590,422591,True,1935,2118,-34,12,-35,2022-07-04T07:23:10,1656908590.426564,2022-07-04T07:23:10
1656908591,12358,True,1936,2119,-41,12,-41,2022-07-04T07:23:11,1656908591.017004,2022-07-04T07:23:11
1656908591,650602,True,1937,2120,-42,12,-42,2022-07-04T07:23:11,1656908591.652179,2022-07-04T07:23:11
1656908592,230472,True,1938,2121,-42,11,-42,2022-07-04T07:23:12,1656908592.232049,2022-07-04T07:23:12
1656908592,770607,True,1939,2122,-36,12,-37,2022-07-04T07:23:12,1656908592.772409,2022-07-04T07:23:12
1656908596,513464,True,1940,2123,-22,11,-23,2022-07-04T07:23:16,1656908596.517132,2022-07-04T07:23:16
1656908597,100847,True,1941,2124,-24,12,-25,2022-07-04T07:23:17,1656908597.104746,2022-07-04T07:23:17
1656908597,741210,True,1942,2125,-22,12,-23,2022-07-04T07:23:17,1656908597.742783,2022-07-04T07:23:17
1656908598,340679,True,1943,2126,-26,12,-26,2022-07-04T07:23:18,1656908598.342281,2022-07-04T07:23:18
1656908598,880167,True,1944,2127,-25,12,-25,2022-07-04T07:23:18,1656908598.882838,2022-07-04T07:23:18
1656908599,430517,True,1945,2128,-23,11,-23,2022-07-04T07:23:19,1656908599.432228,2022-07-04T07:23:19
1656908600,40326,True,1946,2129,-29,12,-29,2022-07-04T07:23:20,1656908600.041976,2022-07-04T07:23:20
1656908600,569954,True,1947,2130,-29,13,-30,2022-07-04T07:23:20,1656908600.57277,2022-07-04T07:23:20
1656908604,709676,True,1948,2132,-16,12,-17,2022-07-04T07:23:24,1656908604.711599,2022-07-04T07:23:24
1656908605,259795,True,1949,2133,-20,12,-20,2022-07-04T07:23:25,1656908605.261393,2022-07-04T07:23:25
1656908605,790155,True,1950,2134,-20,12,-21,2022-07-04T07:23:25,1656908605.794872,2022-07-04T07:23:25
1656908606,332615,True,1951,2135,-22,12,-23,2022-07-04T07:23:26,1656908606.33418,2022-07-04T07:23:26
1656908606,859891,True,1952,2136,-18,12,-18,2022-07-04T07:23:26,1656908606.861509,2022-07-04T07:23:26
1656908607,473327,True,1953,2137,-19,12,-20,2022-07-04T07:23:27,1656908607.476443,2022-07-04T07:23:27
1656908608,187096,True,1954,2138,-22,12,-23,2022-07-04T07:23:28,1656908608.188676,2022-07-04T07:23:28
1656908608,750080,True,1955,2139,-22,12,-23,2022-07-04T07:23:28,1656908608.75167,2022-07-04T07:23:28
1656908609,290244,True,1956,2140,-22,12,-23,2022-07-04T07:23:29,1656908609.29181,2022-07-04T07:23:29
1656908612,899862,True,1957,2141,-18,11,-19,2022-07-04T07:23:32,1656908612.901484,2022-07-04T07:23:32
1656908613,439893,True,1958,2142,-18,12,-19,2022-07-04T07:23:33,1656908613.441493,2022-07-04T07:23:33
1656908614,80975,True,1959,2143,-19,13,-19,2022-07-04T07:23:34,1656908614.082497,2022-07-04T07:23:34
1656908614,629800,True,1960,2144,-18,12,-19,2022-07-04T07:23:34,1656908614.631363,2022-07-04T07:23:34
1656908615,161256,True,1961,2145,-19,12,-19,2022-07-04T07:23:35,1656908615.163935,2022-07-04T07:23:35
1656908615,700537,True,1962,2146,-19,12,-19,2022-07-04T07:23:35,1656908615.703516,2022-07-04T07:23:35
1656908616,240884,True,1963,2147,-19,13,-20,2022-07-04T07:23:36,1656908616.242686,2022-07-04T07:23:36
1656908616,769704,True,1964,2148,-19,12,-19,2022-07-04T07:23:36,1656908616.77127,2022-07-04T07:23:36
1656908617,360080,True,1965,2149,-20,12,-20,2022-07-04T07:23:37,1656908617.361629,2022-07-04T07:23:37
1656908621,119307,True,1966,2150,-20,11,-21,2022-07-04T07:23:41,1656908621.120858,2022-07-04T07:23:41
1656908621,689532,True,1967,2151,-19,12,-20,2022-07-04T07:23:41,1656908621.691076,2022-07-04T07:23:41
1656908622,339872,True,1968,2152,-18,12,-19,2022-07-04T07:23:42,1656908622.341405,2022-07-04T07:23:42
1656908622,939791,True,1969,2153,-19,12,-19,2022-07-04T07:23:42,1656908622.941888,2022-07-04T07:23:42
1656908623,489582,True,1970,2154,-18,12,-19,2022-07-04T07:23:43,1656908623.492976,2022-07-04T07:23:43
1656908624,149582,True,1971,2155,-21,12,-22,2022-07-04T07:23:44,1656908624.152911,2022-07-04T07:23:44
1656908624,769665,True,1972,2156,-18,11,-18,2022-07-04T07:23:44,1656908624.771998,2022-07-04T07:23:44
1656908625,320616,True,1973,2157,-18,12,-19,2022-07-04T07:23:45,1656908625.322185,2022-07-04T07:23:45
1656908630,559528,True,1974,2161,-30,11,-30,2022-07-04T07:23:50,1656908630.563669,2022-07-04T07:23:50
